Zen2 measurement skipped.
   |-- Port01 FP (2 read op) --|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
291|VPSRAD y<-y i              |   100122,   300107,   500055,   500055,   500055,  1000184,   800273,  1161874,  1255299,   800162,  1556627,  1604727,  1255151,  1211269,   800088,   824212,
292|VPSLLQ x<-x i              |   100159,   300144,   500092,   500129,   500092,  1000147,   800162,  1200280,  1255262,   800199,  1556701,  1604875,  1259887,  1214747,   800199,   814259,
293|VPSLLQ y<-y i              |   100159,   300070,   500166,   500129,   500055,  1000184,   896288,   892366,  1255188,   800162,  1556664,  1605504,  1250193,  1211306,   800125,   800199,
294|VPSRLQ x<-x i              |   100159,   300107,   500129,   500129,   500129,  1000221,   896325,  1200243,  1255336,   800199,  1556664,  1600065,  1250119,  1222554,   800125,   800236,
295|VPSRLQ y<-y i              |   100196,   300107,   505494,   505494,   500129,  1000147,   800162,  1200280,  1255299,   800162,  1556775,  1609833,  1255225,  1214710,   800125,   800162,
296|VPSLLDQ x<-x i             |   100159,   300144,   500055,   500129,   500055,  1006363,   800162,  1200243,  1255299,   800162,  1556738,  1600139,  1255151,  1211232,   800125,   815036,
297|VPSLLDQ y<-y i             |   100122,   300144,   500055,   500092,   500055,  1000110,   896288,   956043,  1255336,   800199,  1562436,  1604505,  1255188,  1211306,   800162,   818403,
298|VPSRLDQ x<-x i             |   100196,   300070,   504384,   500055,   500092,  1000110,   800162,  1064749,  1255225,   800199,  1556627,  1600065,  1255262,  1211269,   800162,   800162,
299|VPSRLDQ y<-y i             |   100159,   300144,   500055,   500055,   500092,  1006326,   896288,  1233617,  1248306,   800199,  1556627,  1600139,  1255151,  1211232,   800162,   800162,
300|VPUNPCKLBW x<-x1 x1        |   100196,   300144,   500092,   504458,   500055,  1000110,   800162,   805897,  1255225,   800162,  1556627,  1608834,  1255151,  1200169,   800162,   815850,
301|VPUNPCKLBW y<-y1 y1        |   100159,   300070,   500055,   500092,   500055,  1000221,   800199,   913641,  1255262,   811410,  1556627,  1600176,  1255188,  1216005,   800162,   841121,
302|VPUNPCKHBW x<-x1 x1        |   100159,   300144,   500166,   500055,   500129,  1000221,   800125,  1200280,  1255188,   818958,  1556738,  1604468,  1255225,  1200169,   805379,   800236,
303|VPUNPCKHBW y<-y1 y1        |   100122,   300144,   500092,   500055,   500055,  1000221,   806304,  1117030,  1278905,   809708,  1556590,  1600139,  1255225,  1200169,   800125,   847300,
304|VPUNPCKLWD x<-x1 x1        |   100159,   300107,   500129,   500092,   500055,  1000221,   800162,   800347,  1255225,   800125,  1556775,  1604579,  1255262,  1200169,   805490,   832611,
305|VPUNPCKLWD y<-y1 y1        |   100159,   300070,   500092,   500055,   500055,  1000147,   800125,   800273,  1255188,   800199,  1556627,  1604801,  1255262,  1216042,   800162,   819328,
306|VPUNPCKHWD x<-x1 x1        |   100159,   305620,   500055,   500055,   500055,  1000147,   800125,   806526,  1255188,   800236,  1556664,  1600139,  1248750,  1216819,   800125,   809412,
307|VPUNPCKHWD y<-y1 y1        |   100196,   300107,   500092,   500055,   500092,  1000110,   800125,   800273,  1258074,   818958,  1556775,  1600102,  1255151,  1218632,   806933,   801901,
308|VPUNPCKLDQ x<-x1 x1        |   100196,   300144,   500092,   500092,   500055,  1000184,   800199,   800310,  1255188,   800162,  1556627,  1600102,  1255151,  1200132,   800125,   800273,
309|VPUNPCKLDQ y<-y1 y1        |   100196,   300070,   500055,   500055,   500092,  1000221,   800162,   806156,  1255225,   805712,  1556627,  1600065,  1255225,  1215968,   800162,   824915,
310|VPUNPCKHDQ x<-x1 x1        |   100196,   300033,   500129,   500092,   500092,  1000184,   800125,  1200280,  1254966,   800273,  1556664,  1600102,  1254226,  1220112,   800125,   800162,
311|VPUNPCKHDQ y<-y1 y1        |   100159,   300144,   500055,   500092,   500055,  1000184,   800125,   800310,  1250119,   800236,  1556590,  1604875,  1255225,  1208494,   800125,   800495,
312|VPUNPCKLQDQ x<-x1 x1       |   100122,   300144,   500055,   500129,   500055,  1000147,   800162,   800310,  1260997,   800125,  1556627,  1604579,  1246493,  1200169,   800125,   800717,
313|VPUNPCKLQDQ y<-y1 y1       |   100122,   300144,   500055,   500092,   500055,  1000221,   800125,   877529,  1255262,   800162,  1561992,  1604764,  1255225,  1216042,   800125,   827283,
314|VPUNPCKHQDQ x<-x1 x1       |   100196,   300070,   500092,   500129,   500055,  1006326,   805601,   808598,  1257334,   800273,  1556479,  1605097,  1254004,  1200132,   800162,   842490,
315|VPUNPCKHQDQ y<-y1 y1       |   100122,   300033,   500092,   500055,   500092,  1000147,   806822,   841121,  1250119,   818921,  1556664,  1600102,  1259739,  1200132,   800125,   800902,
316|VUNPCKLPS x<-x1 x1         |   100159,   300070,   500092,   500055,   500092,  1000110,   800162,  1054685,  1255262,   800125,  1556553,  1600102,  1248676,  1200169,   800125,   800162,
317|VUNPCKLPS y<-y1 y1         |   100159,   300107,   500092,   500055,   500092,  1000110,   800125,   800310,  1255188,   800199,  1556738,  1605652,  1254929,  1216042,   800162,   800162,
318|VUNPCKHPS x<-x1 x1         |   100122,   300144,   500055,   500092,   500055,  1000110,   800125,  1200317,  1259776,   800310,  1556627,  1600102,  1255225,  1200169,   800125,   800199,
319|VUNPCKHPS y<-y1 y1         |   100122,   300070,   500092,   500055,   500055,  1000184,   800199,   800347,  1250156,   818995,  1556627,  1604505,  1255188,  1200169,   800162,   817071,
320|VUNPCKLPD x<-x1 x1         |   100159,   300181,   500055,   500055,   500129,  1000221,   800125,   805860,  1255151,   800125,  1556627,  1600065,  1254633,  1200169,   800088,   800310,
321|VUNPCKLPD y<-y1 y1         |   100122,   300107,   500092,   500055,   500092,  1000110,   800162,   800310,  1255262,   800162,  1556701,  1600139,  1255225,  1215931,   800125,   819883,
322|VUNPCKHPD x<-x1 x1         |   100159,   300033,   500055,   500055,   500092,  1000110,   800162,  1200280,  1254855,   818958,  1556590,  1600028,  1255151,  1200132,   805453,   806785,
323|VUNPCKHPD y<-y1 y1         |   100122,   300181,   500092,   500055,   500092,  1000184,   800162,  1147148,  1250156,   800236,  1556738,  1600065,  1255151,  1200206,   800125,   829466,
324|VMOVHLPS x<-x1 x1          |   100159,   300107,   500092,   500092,   500055,  1000110,   800125,   800273,  1255188,   800199,  1556664,  1600176,  1255151,  1200243,   800162,   802456,
325|VMOVLHPS x<-x1 x1          |   100196,   300107,   500055,   500055,   500092,  1000221,   800199,   800273,  1255151,   800162,  1562103,  1600139,  1255151,  1215968,   800125,   800236,
326|VPACKSSWB x<-x1 x1         |   100159,   300144,   500092,   500055,   500055,  1000221,   800125,  1126724,  1255262,   825211,  1556775,  1600065,  1255151,  1200132,   800162,   800828,
327|VPACKSSWB y<-y1 y1         |   100122,   300033,   500129,   500055,   500129,  1000147,   800125,   800310,  1250082,   800273,  1556812,  1605837,  1255262,  1208494,   800125,   800199,
328|VPACKUSWB x<-x1 x1         |   100159,   300070,   500055,   500092,   500055,  1000110,   800125,   800310,  1255225,   800199,  1556479,  1609870,  1259813,  1200132,   800162,   800162,
329|VPACKUSWB y<-y1 y1         |   100196,   300144,   500129,   500092,   500055,  1000110,   800162,   806748,  1255151,   800162,  1556627,  1604579,  1255225,  1216005,   800162,   800347,
330|VPACKSSDW x<-x1 x1         |   100122,   305583,   500055,   500129,   500055,  1000110,   800162,  1200243,  1255151,   825211,  1556627,  1600176,  1251525,  1200132,   800162,   824878,
331|VPACKSSDW y<-y1 y1         |   100159,   300144,   500092,   500092,   500055,  1006400,   800162,   800273,  1259221,   800273,  1556701,  1600139,  1255262,  1200132,   800125,   800199,
332|VPACKUSDW x<-x1 x1         |   100159,   304251,   500055,   500055,   500092,  1000110,   800125,   800347,  1259998,   800125,  1556664,  1600139,  1255188,  1200206,   800125,   812631,
333|VPACKUSDW y<-y1 y1         |   100159,   300070,   500055,   500055,   500055,  1000110,   800199,   800310,  1255188,   800162,  1556627,  1600139,  1255225,  1215968,   800162,   808413,
334|VPERMILPD x<-x i           |   100159,   300033,   500129,   500055,   500092,  1000184,   807044,  1200317,  1255262,   818995,  1556627,  1604616,  1255151,  1213489,   800125,   833573,
335|VPERMILPD y<-y i           |   100159,   300107,   500092,   500055,   500092,  1000110,   800199,   811558,  1255225,   827542,  1562029,  1604801,  1265511,  1216560,   800162,   800902,
336|VPERMILPS x<-x i           |   100159,   300107,   500055,   500055,   500092,  1000184,   800162,  1200243,  1259887,   825211,  1556590,  1600139,  1255225,  1213452,   800125,   800199,
337|VPERMILPS y<-y i           |   100122,   300070,   500129,   500055,   500055,  1000110,   800125,  1175749,  1255262,   818921,  1556590,  1604875,  1255188,  1213526,   800162,   801864,
338|VSHUFPD x<-x1 x1 i         |   100122,   300070,   500129,   500055,   500055,  1000110,   800125,  1200280,  1252450,   818958,  1556553,  1600065,  1255262,  1213452,   800199,   822362,
339|VSHUFPD y<-y1 y1 i         |   100159,   300144,   500092,   500092,   500092,  1006659,   800125,  1131793,  1255225,   818921,  1556553,  1600139,  1255188,  1225366,   800125,   816960,
340|VSHUFPS x<-x1 x1 i         |   100122,   300070,   500055,   500092,   500055,  1000147,   800162,   942723,  1255151,   800236,  1562251,  1604616,  1255151,  1213452,   800162,   801198,
341|VSHUFPS y<-y1 y1 i         |   100159,   300107,   500092,   500055,   500055,  1000147,   800162,   956339,  1255225,   818958,  1556664,  1604875,  1255151,  1213489,   800162,   800199,
342|VPSHUFB x<-x1 x1           |   100159,   300181,   500055,   500092,   500092,  1000147,   800162,  1189624,  1255262,   800236,  1556701,  1610277,  1255225,  1216856,   800162,   800236,
343|VPSHUFB y<-y1 y1           |   100159,   300107,   500092,   500092,   500092,  1000147,   800162,  1199836,  1278868,   800273,  1556590,  1604727,  1255299,  1200169,   800125,   816146,
344|VPSHUFLW x<-x i            |   100122,   300107,   500055,   500092,   500055,  1000184,   800199,  1233580,  1255336,   800162,  1556627,  1600065,  1255262,  1214784,   800162,   814851,
345|VPSHUFLW y<-y i            |   100122,   300144,   500092,   500055,   500092,  1000147,   800162,   958300,  1255188,   800236,  1556664,  1605541,  1250119,  1211306,   800199,   835127,
346|VPSHUFHW x<-x i            |   100122,   300033,   500055,   500092,   500092,  1000110,   800162,  1200243,  1255299,   800162,  1556590,  1600065,  1250156,  1211232,   800199,   814000,
347|VPSHUFHW y<-y i            |   100122,   300070,   500055,   500055,   500129,  1000184,   800162,  1200280,  1255262,   838531,  1556590,  1600065,  1255188,  1211269,   800162,   825840,
348|VPSHUFD x<-x i             |   100159,   300144,   500129,   500092,   500092,  1000221,   800162,   941169,  1255262,   800236,  1556664,  1600139,  1250193,  1211232,   809597,   800310,
349|VPSHUFD y<-y i             |   100122,   300070,   500129,   500055,   500055,  1006363,   800125,  1200280,  1255262,   833906,  1556553,  1600065,  1255225,  1211306,   800125,   800199,
350|VPALIGNR x<-x1 x1 i        |   100122,   300033,   500092,   500055,   500092,  1000110,   896288,  1200243,  1260553,   800199,  1556627,  1605430,  1250193,  1211269,   800125,   853331,
351|VPALIGNR y<-y1 y1 i        |   100122,   300107,   500092,   500055,   500129,  1000110,   800236,  1200280,  1255299,   800162,  1556627,  1604653,  1255151,  1211343,   800125,   801568,
352|VMOVDDUP x<-x              |   100159,   300033,   500055,   508454,   500129,  1000147,   800125,   800273,  1255225,   800162,  1556627,  1600139,  1259887,  1200206,   800125,   804158,
353|VMOVDDUP y<-y              |   100159,   300107,   500092,   500055,   500092,  1000221,   800199,   806415,  1255262,   800162,  1562066,  1600028,  1255188,  1216005,   800125,   800162,
354|VMOVSLDUP x<-x             |   100196,   300144,   500055,   505198,   500055,  1006289,   800125,   800347,  1255225,   812557,  1561770,  1600028,  1255225,  1208531,   800162,   836903,
355|VMOVSLDUP y<-y             |   100196,   300107,   500092,   500055,   500092,  1000110,   805749,   800273,  1278868,   800236,  1556627,  1600065,  1255151,  1208494,   800162,   820697,
356|VMOVSHDUP x<-x             |   100159,   300033,   500055,   500129,   500092,  1000221,   800162,   800310,  1255151,   894919,  1556701,  1604838,  1255299,  1200169,   800125,   807377,
357|VMOVSHDUP y<-y             |   100122,   300144,   500055,   500055,   500055,  1000147,   800162,   806859,  1255151,   805823,  1562140,  1604616,  1255225,  1216708,   800162,   803085,
358|VPBROADCASTB x<-x          |   100159,   300144,   500055,   500129,   500092,  1000147,   800125,  1200243,  1255188,   818255,  1556701,  1604838,  1255151,  1200206,   805453,   800162,
359|VPBROADCASTW x<-x          |   100122,   300070,   500055,   500092,   500055,  1000147,   800125,   800347,  1249897,   809597,  1556627,  1600139,  1255225,  1218780,   800199,   806045,
360|VPBROADCASTD x<-x          |   100196,   300107,   500055,   500092,   500129,  1000184,   800125,   800310,  1260479,   800162,  1556664,  1600102,  1255188,  1200206,   805601,   815850,
361|VPBROADCASTQ x<-x          |   100122,   300107,   504162,   500055,   500092,  1000147,   800125,   800347,  1261293,   800162,  1556664,  1600065,  1249490,  1216005,   805971,   830132,
362|VBROADCASTSS x<-x          |   100159,   300107,   500129,   500092,   500092,  1000147,   800162,  1175860,  1255151,   800236,  1556627,  1600102,  1255151,  1208494,   800162,   801235,
363|VPMOVZXBW x<-x             |   100159,   300107,   500092,   500092,   500092,  1000110,   800162,   800273,  1278831,   800236,  1556738,  1600102,  1255188,  1200169,   800125,   869315,
364|VPMOVZXBD x<-x             |   100159,   300107,   500092,   500092,   500129,  1000221,   820401,   800273,  1255188,   800125,  1556738,  1600139,  1255188,  1200132,   800125,   800569,
365|VPMOVZXBQ x<-x             |   100159,   300181,   500092,   500092,   500055,  1000221,   800236,   800310,  1265178,   810966,  1556664,  1600102,  1255225,  1216042,   806045,   805231,
366|VPMOVZXWD x<-x             |   100122,   300144,   500055,   500092,   500092,  1000221,   800199,   972323,  1255225,   825174,  1556590,  1600065,  1255225,  1200206,   800162,   800162,
367|VPMOVZXWQ x<-x             |   100159,   300144,   500055,   500055,   500055,  1000110,   800162,  1200280,  1250156,   810411,  1561474,  1604505,  1255151,  1215006,   800162,   813223,
368|VPMOVZXDQ x<-x             |   100122,   300144,   500055,   504236,   500092,  1000110,   800199,   800273,  1255262,   800125,  1556627,  1600102,  1255151,  1200132,   800125,   836533,
369|VPMOVSXBW x<-x             |   100196,   300070,   500129,   500055,   500092,  1000221,   805379,   800310,  1254966,   800199,  1556664,  1600102,  1255151,  1215450,   800125,   800162,
370|VPMOVSXBD x<-x             |   100159,   300070,   500092,   500092,   500129,  1000110,   800162,  1190105,  1254226,   800236,  1556627,  1604505,  1255225,  1216856,   805379,   812779,
371|VPMOVSXBQ x<-x             |   100159,   300144,   500129,   504310,   500092,  1006252,   800125,   924667,  1250119,   800273,  1560771,  1604579,  1255225,  1200169,   800125,   815887,
372|VPMOVSXWD x<-x             |   100196,   300107,   500092,   500055,   500092,  1000147,   800199,   800273,  1255225,   800125,  1556627,  1600065,  1255262,  1200132,   800162,   806711,
373|VPMOVSXWQ x<-x             |   100196,   300144,   500092,   500092,   500092,  1006770,   800125,   800273,  1255114,   800162,  1556627,  1600028,  1255151,  1215968,   800125,   812335,
374|VPMOVSXDQ x<-x             |   100196,   300070,   500129,   500055,   500055,  1000110,   800162,  1200243,  1255262,   800236,  1565951,  1600176,  1255151,  1200206,   800162,   800162,
375|VINSERTPS x<-x1 x1 i       |   100159,   300033,   500129,   500092,   500055,  1000184,   800162,  1204720,  1250156,   800125,  1556664,  1600102,  1255299,  1200169,   800162,   800384,
   |-------- Port03 Int -------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
377|VPMULHW x<-x1 x1           |   300033,   500055,   700077,   700114,   700114,  1000184,   800162,   800273,  1305989,  1605319,  1000110,   800162,  1305989,  1246308,   800125,   825581,
378|VPMULHW y<-y1 y1           |   300107,   500092,   700077,   700114,   700114,  1000110,   805675,   800310,  1306063,  1600102,  1000184,   800199,  1310429,  1200243,   800125,   801346,
379|VPMULHUW x<-x1 x1          |   300070,   500092,   700077,   700077,   700040,  1000147,   800199,   805712,  1306026,  1600176,  1000221,   800125,  1306063,  1246789,   800162,   808228,
380|VPMULHUW y<-y1 y1          |   300107,   500092,   700114,   700077,   700077,  1000221,   800162,   800421,  1305989,  1605060,  1000147,   800162,  1305989,  1246308,   800162,   827579,
381|VPMULHRSW x<-x1 x1         |   300070,   500092,   700077,   700114,   700114,  1000110,   800125,   800347,  1306026,  1600139,  1000147,   800199,  1306026,  1246308,   800236,   819550,
382|VPMULHRSW y<-y1 y1         |   300070,   500055,   704517,   700114,   700077,  1000147,   805638,   800310,  1306063,  1600065,  1000110,   800125,  1306026,  1200280,   800162,   800199,
383|VPMULLW x<-x1 x1           |   300144,   500092,   700114,   700040,   700077,  1000147,   800162,   800310,  1305989,  1600102,  1000147,   812742,  1305989,  1244754,   800162,   820697,
384|VPMULLW y<-y1 y1           |   300070,   500055,   704443,   700077,   700114,  1000110,   800199,   800421,  1306026,  1600102,  1000147,   800162,  1306026,  1246308,   800162,   812261,
385|VPMULLD x<-x1 x1           |   300070,   500092,   705035,   700114,   700077,  1000147,   800162,   800273,  1306026,  1600102,  1000147,   800125,  1305989,  1246345,   800199,   823768,
386|VPMULLD y<-y1 y1           |   300181,   500055,   700077,   700114,   700077,  1000221,   800236,   800273,  1306026,  1604394,  1000221,   800199,  1305989,  1200132,   800162,   800162,
387|VPMULDQ x<-x1 x1           |   300144,   500055,   700114,   700151,   700077,  1000184,   800199,   800310,  1306026,  1600139,  1000110,   800236,  1306026,  1246752,   800125,   825951,
388|VPMULDQ y<-y1 y1           |   300107,   500092,   700114,   700077,   700077,  1006548,   800199,   800384,  1306063,  1604505,  1007843,   800125,  1306026,  1246308,   800162,   800162,
389|VPMULUDQ x<-x1 x1          |   300107,   500055,   700077,   700077,   700077,  1007473,   800162,   800310,  1306026,  1600139,  1006067,   800125,  1305989,  1246345,   800162,   806008,
390|VPMULUDQ y<-y1 y1          |   300107,   500055,   700077,   700077,   700077,  1000221,   800236,   800273,  1306026,  1600139,  1000147,   800125,  1306026,  1200169,   800199,   802715,
391|VPMADDWD x<-x1 x1          |   300033,   500129,   700077,   700077,   700077,  1000221,   800125,   800347,  1305989,  1600176,  1000110,   812705,  1305989,  1244754,   800125,   800162,
392|VPMADDWD y<-y1 y1          |   300107,   500092,   700151,   700114,   700077,  1000110,   800199,   800347,  1305989,  1604727,  1000184,   800125,  1305989,  1246308,   800125,   801050,
393|VPMADDUBSW x<-x1 x1        |   304140,   500092,   700114,   700114,   700077,  1000110,   800199,   800273,  1306026,  1600065,  1006067,   800162,  1306026,  1248454,   800125,   800310,
394|VPMADDUBSW y<-y1 y1        |   300144,   500092,   700151,   700114,   700077,  1006363,   800199,   800273,  1306026,  1600065,  1006252,   800125,  1306026,  1200206,   800162,   850371,
395|VPSADBW x<-x1 x1           |   304214,   500055,   700114,   700077,   700077,  1000110,   800125,   800310,  1305989,  1600176,  1006104,   800162,  1305989,  1244791,   800162,   800199,
396|VPSADBW y<-y1 y1           |   300033,   500092,   700077,   700114,   700077,  1000258,   800199,   800384,  1305989,  1600102,  1000147,   800125,  1305989,  1246308,   800162,   816072,
   |----- P0 (Cross-lanes) ----|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
398|VINSERTI128 y<-y x i       |   100159,   500055,   339364,   518962,   509490,   850186,  1600102,   804898,  1200095,   800199,   800162,   800236,   805157,  1000184,   800125,   800162,
399|VINSERTF128 y<-y x i       |   100233,   500092,   339512,   509453,   509564,   906167,  1600139,   800273,  1200058,   800162,   806600,   800199,   800125,  1005919,   800162,   814148,
400|VINSERTI128 y<-y m128 i    |   100159,   500055,   327561,   506382,   500129,   906537,  1604579,   800236,  1200058,   800162,   900099,   800162,   800125,  1049098,   800162,  1200132,
401|VINSERTF128 y<-y m128 i    |   100159,   518962,   306360,   528249,   500092,   900099,  1600102,   800310,  1200132,   800125,   900099,   806748,   800162,  1049135,   800162,  1200206,
402|VEXTRACTI128 x<-y i        |   300144,   731305,   512191,   740555,   740740,   850112,  1604616,   800236,  1200132,   800162,   800199,   800162,   800125,  1025159,   800125,   806378,
403|VEXTRACTF128 x<-y i        |   300218,   732045,   500092,   739741,   740999,   900173,  1600065,   800273,  1200095,   800199,   800162,   800125,   800125,  1000147,   800125,   802752,
404|VEXTRACTI128 m128<-y i     |   100159,   234728,   235320,   414992,   416509,  1006326,  1600028,   818588,  1206015,  1115846,  1006215,  1041476,   800125,  1067746,  1604505,  2328928,
405|VEXTRACTF128 m128<-y i     |   100159,   200133,   236134,   414770,   416509,  1000147,  1600139,   800384,  1206052,  1115957,  1006289,  1048691,   800125,  1068560,  1600139,  2313388,
406|VPERM2I128 y<-y y i        |   300107,   731231,   500129,   740555,   740740,   850112,  1600028,   800273,  1200169,   800199,   800125,   800162,   809782,  1007029,   800125,   821955,
407|VPERM2F128 y<-y y i        |   300144,   731379,   500166,   738224,   740740,   900099,  1605763,   800273,  1200132,   800199,   800125,   805564,   800125,  1000221,   800199,   802308,
408|VPERM2I128 y<-y m256 i     |   300181,   731823,   522144,   736855,   745624,   900136,  1600065,   800236,  1200095,   800125,   900099,   805712,   800125,  1023198,   800199,  1200132,
409|VPERM2F128 y<-y m256 i     |   300181,   729344,   524105,   741591,   737965,   900099,  1600139,   800273,  1200095,   800125,   900173,   805934,   800125,  1033484,   807007,  1200169,
410|VBROADCASTSS y<-x          |   100159,   500055,   347245,   518851,   509564,   850112,  1604579,   800273,  1200132,   800199,   900136,   800125,   800088,  1000221,   800125,   826876,
411|VBROADCASTSD y<-x          |   100159,   500055,   300255,   509527,   507529,   850186,  1600028,   800236,  1200095,   800125,   900099,   800273,   800162,  1045842,   800162,   800162,
412|VPBROADCASTB y<-x          |   100196,   500092,   339475,   509490,   509490,   850112,  1600139,   800273,  1200095,   800125,   806563,   800162,   800088,  1000221,   800125,   800199,
413|VPBROADCASTW y<-x          |   100159,   500055,   339549,   509453,   518851,   900173,  1604690,   800273,  1200095,   800162,   800199,   800199,   800162,  1011395,   800125,   800125,
414|VPBROADCASTD y<-x          |   100159,   500129,   339364,   509490,   509453,   850112,  1600065,   800236,  1200095,   800162,   900210,   800199,   800162,  1006659,   800162,   811040,
415|VPBROADCASTQ y<-x          |   100159,   500092,   300218,   509453,   507566,   857216,  1600065,   800236,  1200095,   800162,   900099,   800125,   800088,  1051540,   800162,   834054,
416|VBROADCASTSS y<-m32        |   100122,   100159,   100159,   100122,   100122,   906426,   800088,   800310,   803492,   800162,   900210,   800088,   803418,   807081,   808524,  1200132,
417|VBROADCASTSD y<-m64        |   100159,   100122,   200133,   100159,   211973,  1000184,   800088,   800236,   800199,   800125,  1000221,   806378,   800125,   800162,   800162,  1262181,
418|VPBROADCASTB y<-m8         |   100159,   100159,   100159,   100159,   100159,   900210,   800088,   800273,   800088,   800088,  1000147,   807821,   800162,   800125,   800162,  1200206,
419|VPBROADCASTW y<-m16        |   100159,   200096,   100122,   200133,   100196,   900136,   800088,   800236,   803455,   800125,   906389,   800125,   803492,   800162,   806082,  1200169,
420|VPBROADCASTD y<-m32        |   100196,   100159,   100196,   100233,   100159,   900136,   800088,   800236,   803455,   800088,   900173,   800088,   803455,   800125,   800236,  1200169,
421|VPBROADCASTQ y<-m64        |   100122,   100159,   200133,   100159,   200170,  1000110,   800088,   800273,   800162,   800125,  1000184,   816812,   800125,   800162,   800162,  1200206,
   |------ P1 (DIV/SQRT) ------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
423|VDIVPD x<-x1 x2            |  1304583,  1786730,  1581861,  1700150,  1785694,   900136,   992895,  1000295,  1000036,   900062,   900173,   900099,   900136,   910681,   900062,   900062,
424|VDIVPD y<-y1 y2            |  1300143,  1700150,  1500165,  1700150,  1709178,   900099,   992969,  1000258,  1005290,   900099,   900173,   900136,   900062,   978391,   900173,   900099,
425|VDIVSD x<-x1 x2            |  1300106,  1709215,  1581861,  1765492,  1781883,   900062,   992932,  1000258,  1000110,   900099,   900099,   900099,   900062,   910718,   900062,   900099,
426|VDIVPS x<-x1 x2            |  1100084,  1418284,  1218262,  1418284,  1418247,   800162,   800125,  1200243,  1000147,   800125,   800199,   800125,   809708,   934361,   800125,   800199,
427|VDIVPS y<-y1 y2            |  1100047,  1423020,  1218336,  1423094,  1418247,   800162,   854515,  1200243,  1000147,   800125,   800125,   805490,   800051,   905538,   800125,   800125,
428|VDIVSS y<-y1 y2            |  1100084,  1418284,  1218262,  1418321,  1418284,   800125,   800051,  1204535,  1000147,   800088,   800125,   800088,   800125,   987900,   800125,   800162,
429|VSQRTPD x<-x               |  2105115,  2423019,  2222812,  2418357,  2418246,  1607539,  1600065,  1808671,  1756390,  1605393,  1600176,  1604616,  1600065,  1805267,  1600102,  1600102,
430|VSQRTPD y<-y               |  2100083,  2418320,  2228880,  2418283,  2418283,  1600176,  1600065,  1805600,  1729010,  1600176,  1600139,  1600102,  1600139,  1805452,  1605467,  1600176,
431|VSQRTSD x<-x1 x1           |  2100009,  2418246,  2218335,  2418283,  2418283,  2005363,  2000109,  2000294,  2000109,  2004660,  2000146,  2010099,  2009174,  2005030,  2042733,  2005104,
432|VSQRTPS x<-x               |  1486364,  1822509,  1618343,  1828022,  1822842,  1600102,  1600139,  1800235,  1722720,  1604505,  1600176,  1600065,  1600176,  1700113,  1600102,  1600361,
433|VSQRTPS y<-y               |  1500017,  1823471,  1618232,  1822805,  1823138,  1600176,  1666739,  1800272,  1736225,  2145038,  1600139,  1600102,  1604801,  1700224,  1600139,  1600213,
434|VSQRTSS y<-y1 y1           |  1499980,  1822953,  1618343,  1818217,  1822546,  1600176,  1600065,  1804564,  1700150,  1600102,  1600213,  1604727,  1600102,  1689124,  1600102,  1605763,
   |-------- GPR<->VEC --------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
436|VMOVD gpr32<-x             |   600103,   800125,   900025,  1000110,   900062,  1600139,   800125,   800273,   800088,   800162,   800125,   800088,   800125,   800125,  1600065,   820993,
437|VMOVD gpr64<-x             |   604987,   800051,   900062,  1000147,   900062,  1604505,   800125,   800310,   800125,   806230,   906426,   800125,   800088,   800162,  1605282,   819920,
438|VMOVD x<-gpr32             |   600103,   800088,   900025,  1000073,   900025,  1406111,   800125,   900247,  1000110,  1000110,  1606355,  1554481,  1549856,  1498870,   900247,  1200169,
439|VMOVD x<-gpr64             |   608650,   800051,   900136,  1000073,   900062,  1406111,   800125,   900247,  1000221,  1000147,  1600139,  1553297,  1549782,  1493505,   900173,  1200132,
440|VPEXTRB gpr32<-x           |   700114,   904835,  1100121,  1101897,  1100047,  1600139,   800088,   800310,   996632,   800162,  1184555,  1200095,   996558,  1000628,  1604653,   824175,
441|VPEXTRB gpr64<-x           |   700077,   900099,  1100121,  1104228,  1100084,  1600102,   800162,   805194,   996595,   809412,  1184518,  1200132,   996632,  1000221,  1604579,   811373,
442|VPEXTRW gpr32<-x           |   700077,   900099,  1100121,  1100084,  1100121,  1605134,   800088,   800310,   996595,   810189,  1184555,  1200169,   996521,  1000702,  1605578,   800347,
